,Athlete,Country,NumChamps
611,Sergio VERDASCO URIZAL,Spain,1
612,Antoine KAUFFMANN,Belgium,1
613,Jerome GONZÁLEZ GUTIÉRREZ,Spain,1
614,Giorgio BENDAZZOLI,Italy,1
615,Urban PRIMOZIC,Slovenia,1
616,Bernhard RÖCK,Austria,1
617,Teun KEUSTERS,Netherlands,1
618,Kevin HUSER,Switzerland,1
619,Jan ZIMA,Czechia,1
620,Lowie LAMBERECHTS,Belgium,1
621,Yiftach KUSHNIR,Israel,1
622,Stefano CARNATI,Italy,1
623,Semen CHESNOKOV,Russia,1
624,Hans BUSKER,Netherlands,1
625,Ignacio SANCHEZ GONZÁLEZ,Spain,1
626,Yohann DECHAMPS,France,1
627,Marián ŠELIGA,Slovakia,1
628,Dominic BURNS,Ireland,1
629,Jurijs KRASANOVS,Latvia,1
630,Jonathan PARTRIDGE,United Kingdom,1
631,Viliam FERČÁK,Slovakia,1
632,James GARDEN,United Kingdom,1
633,Jan DE SMIT,Belgium,1
634,Dmitrijus MONASTYRECKIS,Lithuania,1
635,Stefan DANKER,Germany,1
636,Mircea STRUTEANU,Romania,1
637,Thilo jeldrik SCHRÖTER,Norway,1
638,Stefan AVRAMOV,Bulgaria,1
639,Andrew ZHIGAREV,Ukraine,1
640,Robin VICERY,Denmark,1
641,Arturas VOLKOVAS,Lithuania,1
642,Oleksiy YURKO,Ukraine,1
643,Jakub KOZLOWSKI,Poland,1
644,Karol DENIS,Poland,1
645,Volodymyr ZINCHENKO,Ukraine,1
646,Ruslan FAIZULLIN,Russia,1
647,Denys ROKOTYANSKII,Ukraine,1
648,Andrii KYTAIKO,Ukraine,1
649,Sergej EPIH,Slovenia,1
650,Markus JUNG,Germany,1
651,Federico ANDREOLI,Italy,1
652,Jakob heber NORUM,Norway,1
653,Michal ROZEK,Czechia,1
654,Mikhail KOCHETKOV,Russia,1
655,John henry NILSSEN,Norway,1
656,Gyula JUHASZ,Hungary,1
657,Jakub POCIECHA,Poland,1
658,Yuriy POBEREZHETS,Ukraine,1
659,Máté GÁL,Hungary,1
660,Fabian BOSLER,Germany,1
661,Maximilian PORSCHA,Germany,1
662,Simon BOSLER,Germany,1
663,Florian BÖBEL,Germany,1
664,Zufar NIGMANOV,Russia,1
665,Ivan NOVIKOV,Russia,1
666,Peter PUTZ,Austria,1
667,Christoph KRISMER,Austria,1
668,Rudi MORODER,Italy,1
669,Dogan oguz PALUT,Turkey,1
670,Anton MARDASHOV,Ukraine,1
671,Truong NGO,Netherlands,1
672,Zorbey AKTUYUN,Turkey,1
673,Noé BERGER,Luxembourg,1
674,Nicola DE MATTIA,Italy,1
675,Alexander KALINA,Russia,1
676,Miroslav HRASKO,Slovakia,1
677,Pavlo VEKLA,Ukraine,1
678,Erik GRANDELIUS,Sweden,1
679,Silvio REFFO,Italy,1
680,Bruno MACIAS MATUTANO,Spain,1
681,Nicolas MATHIEU,Belgium,1
682,Jesse VAN DER WERF,Netherlands,1
683,Tomas GREKSAK,Slovakia,1
684,Stefano GHIDINI,Italy,1
685,Jacek MATUSZEK,Poland,1
