,Athlete,Country,NumWCups
581,Sarah PEARCE,United States of America,3
582,Lily CANAVAN,United States of America,3
583,Kajsa ROSEN,Sweden,3
584,Beatriz COIMBRA,Portugal,3
585,Ana-maria ZAHARIA,Romania,3
586,Hannah SCHUBERT,Austria,3
587,Roxy PERRY (Current),Australia,3
588,Alla MARENYCH,Ukraine,3
589,Cirvele KATRĪNA,Latvia,3
590,Zoé EGLI (Current),Switzerland,3
591,Julia MEIJER,Netherlands,3
592,Rahil RAMEZANI,Iran (Islamic Republic of),3
593,Tan SHI HUI,Singapore,3
594,Rut MONSECH GASCA,Spain,3
595,Yiling SONG,China,3
596,Margarita AGAMBAYEVA (Current),Kazakhstan,3
597,Anna DAVEY,Australia,3
598,Beatrix EVANS,Canada,3
599,Liv EGLI (Current),Switzerland,3
600,Grace CROWLEY (Current),Australia,3
601,María fernanda HIDALGO AMEZQUITA,Mexico,3
602,María fernanda GONZÁLEZ RÁMIREZ,Mexico,3
603,Siobhan DOBIE,Australia,3
604,Arantza FERNÁNDEZ GUTIERREZ (Current),Mexico,3
605,Wai-mui LING,"China, Hong Kong Special Administrative Region",3
606,Miriam DIEZ LUENGO (Current),Spain,3
607,Anne ACKRE (Current),Norway,3
608,Natalie GOH SIHUI (Current),Singapore,3
609,Mariana HANGGI CORREIA (Current),Brazil,3
610,Arantza LUNA VELASCO (Current),Mexico,3
611,Arina JURCENKO (Current),Czechia,3
612,Ariane FRANKEN (Current),Austria,3
613,Leonie HOFER (Current),Italy,3
614,Lianet CASTILLO (Current),Venezuela (Bolivarian Republic of),3
615,Tegwen OATES (Current),South Africa,3
616,Danai VALSAMIDI (Current),Greece,3
617,Xuanzhen CHEN (Current),China,3
618,Yun-Shan HSIEH (Current),Taiwan,3
619,Anja KÖHLER  (Current),Brazil,3
620,Pernille TVEDT (Current),Norway,3
621,Regina SALAZAR PUGA (Current),Mexico,3
622,Katya Lynn BROCKMAN (Current),Mexico,3
623,Viktorie KONECNA (Current),Czechia,3
624,Ruby DANZIGER (Current),Israel,3
625,Adela KONARIKOVA (Current),Czechia,3
626,Sarina GHAFFARI (Current),Iran (Islamic Republic of),3
627,Kaho MURAKOSHI (Current),Japan,3
628,Tsz Kiu TSUI (Current),"China, Hong Kong Special Administrative Region",3
629,Lina FUNA (Current),Slovenia,3
630,Marilu SOMMER (Current),Switzerland,3
631,Josune BERECIARTU URRUZOLA,Spain,2
632,Elena OVTCHINNIKOVA,United States of America,2
633,Laura FERRERO,Italy,2
634,Alessandra FRANCONE,Italy,2
635,Esther CRUZ MONTALBAN,Spain,2
636,Judith HIRSCH,Austria,2
637,Sarah LAGOFFUN,France,2
638,Maria GEORGIEVA,Bulgaria,2
639,Hoshiko NAGAKAI,Japan,2
640,Mélaine RUBIO,France,2
641,Florence GAS,France,2
642,Zosia PODGORBOUNSKIKH,Russia,2
643,Natalia MINAEVA,Russia,2
644,Eva TUSAR,Slovenia,2
645,Annatina SCHULTZ,Switzerland,2
646,Stéphanie LOUIS,Switzerland,2
647,Sarah SEEGER,Germany,2
648,Liv SANSOZ,France,2
649,Chloé VALEMBOIS,France,2
650,Nolwen LELINGNE,France,2
651,Gail ROTHSCHILD,United States of America,2
652,Lenka TRNKOVA,Czechia,2
653,Janine CARDOSO,Brazil,2
654,Jenny FÖRANDER,Sweden,2
655,Anne MARCHANDISE,France,2
656,Sadie RENWICK,United Kingdom,2
657,Sabina VAN ESSEN,Netherlands,2
658,Pleun FRANK,Netherlands,2
659,Elza elizabete BARAKA,Latvia,2
660,Adela BAJEROVA,Czechia,2
661,Mona KELLNER,Germany,2
662,Erin STERKENBURG,South Africa,2
663,Genevieve DENNIS,United States of America,2
664,Kathrine elsig JENSEN,Denmark,2
665,Thea WULFF,United States of America,2
666,Evdoxia - aikaterini KALLIA,Greece,2
