,Athlete,Country,NumWCups
598,Louna DESHAYES (Current),France,3
599,Yajun HUANG (Current),China,3
600,Fadya devi MONICA,Indonesia,3
601,Sandra HOPFENSITZ (Current),Germany,3
602,Prateeksha ARUN (Current),India,3
603,Zoe GARCIA MOLINA,Argentina,3
604,Ema GALEOVA (Current),Czechia,3
605,Valentina ARNOLDI (Current),Italy,3
606,Meije LERONDEL (Current),France,3
607,Viola BATTISTELLA (Current),Italy,3
608,Edyta ROPEK,Poland,3
609,Emilie VERDIER,France,3
610,Eleonora VAN DER PUTTEN,Netherlands,3
611,Anna STENKOVAYA,Russia,3
612,Yuyun YUNIAR,Indonesia,3
613,Mirella FRATI,Italy,3
614,Claire MATHIEU,France,3
615,Gyong-im YUN,Republic of Korea,3
616,Olga MEDVEDIEVA,Ukraine,3
617,Zoë MAIRE,Switzerland,3
618,Elise SETHNA,Canada,3
619,Ekaterina NOVITSKAIA,Russia,3
620,Nataliia STEPANOVA,Russia,3
621,Audrey SNIEZEK,United States of America,3
622,Maria GEORGIEVA,Bulgaria,3
623,Andrea PAVLINCOVA,Czechia,3
624,Ganna SAVCHENKO,Ukraine,3
625,Alexandra GOLOVINA,Russia,3
626,Thomasina PIDGEON,Canada,3
627,Virgita NADYA PUTRI,Indonesia,3
628,Solah KIM,Republic of Korea,3
629,Woonwha JEONG,Republic of Korea,3
630,Tsukasa MIZUGUCHI,Japan,3
631,Anja SERBINEK,Slovenia,3
632,Dana GILEMKHANOVA,Russia,3
633,Evgeniya LAPSHINA,Russia,3
634,Jana VINCOURKOVA,Czechia,3
635,Elena BONAPACE,Austria,3
636,Veronika SCHEUEROVA,Czechia,3
637,Puntarika TUNYAVANICH (Current),Thailand,3
638,Erina MIURA,Japan,3
639,Natsuko SHIMIZU,Japan,3
640,Saula LERONDEL,France,3
641,Jennifer COLE,United States of America,3
642,Margarita SAULIMOVSKAIA,Russia,3
643,Catherine DESTIVELLE,France,3
644,Bobbie BENSMAN,United States of America,3
645,Marie-luise KILCHÖR,Switzerland,3
646,Monica MALGAROTTO,Italy,3
647,Larisa SPELMAN,Russia,3
648,Edel LEMVIK,Norway,3
649,Anna ZAIKINA,Russia,3
650,Selma ELHADJ MIMOUNE (Current),France,3
651,Kintana ILTIS (Current),France,3
652,Lucie RAJFOVA,Czechia,3
653,Gui-ying LIU,China,3
654,Eva ELEZ,Spain,3
655,Heike ORTLIEB,Germany,3
656,Susan PRICE,United States of America,3
657,Catherine MUSSO,France,3
658,Therese NOST,Norway,3
659,Natalia BAGENOVA,Russia,3
660,Stanislava BRAZINOVA,Czechia,3
661,Marina LICHTINA,Kazakhstan,3
662,Catherine MIQUEL,France,3
663,Barbara SCHNEIDER,Germany,3
664,Margarita PANFYOROVA,Ukraine,3
665,Zala MLAKAR STARIC (Current),Slovenia,3
666,Natalie GOH SIHUI (Current),Singapore,3
667,Xuanzhen CHEN (Current),China,3
668,Ting-Chen YAO (Current),Taiwan,3
669,Mao NAKAMURA (Current),Japan,3
670,Mashiro KUZUU (Current),Japan,3
671,Ella FISHER (Current),United States of America,3
672,Mai KOBAYASHI (Current),Japan,3
673,Kohana MUGISHIMA (Current),Japan,3
674,Samantha BERRY,Australia,3
675,Tomoko MADATE,Japan,3
676,Katie STEENACKERS,Belgium,3
